"Longitude","Latitude","Elevation","Weekday","Month","Time","Land.Use_AGRICULTURAL","Land.Use_COMMERCIAL","Land.Use_FOREST","Land.Use_INDUSTRIAL","Land.Use_MILITARY RESERVATION","Land.Use_RESIDENTIAL","Location.Setting_RURAL","Location.Setting_SUBURBAN","Location.Setting_URBAN AND CENTER CITY","max_PM2.5","max_NO2","max_O3","max_PM10","max_CO","max_SO2"
-95.976537,36.204902,201,5,9,617,0,0,0,0,0,1,0,0,1,18.85,12.8,0.039,50,0.2,0.4
-122.602877,45.496641,68,2,7,572,0,0,0,0,0,1,0,1,0,4.5,6.5,0.031,9,0.2,0.3
-119.77321,36.78538,100,4,4,476,0,1,0,0,0,0,0,0,1,4.73333333333333,8.6,0.064,22.5,0.3,2.3
-111.872222,40.736389,1304,6,7,1661,0,0,0,0,0,1,0,1,0,6.3,17.55,0.069,21,0.1,1.4
-96.700769,43.54792,449,2,1,1475,0,1,0,0,0,0,0,0,1,7,5.5,0.026,10,0.2,0.3
-106.5852,35.1343,1591,3,4,1574,0,0,0,0,0,1,0,0,1,4.2,23.9,0.054,10,0.2,0.5
-106.5852,35.1343,1591,5,2,1142,0,0,0,0,0,1,0,0,1,6.7,25.2,0.025,15,0.3,0.5
-77.013178,38.921847,56,4,11,308,0,1,0,0,0,0,0,0,1,12.3666666666667,29.7,0.019,20,0.5,1.4
-122.026154,37.936013,25,6,9,989,0,0,0,0,0,1,0,1,0,18.6,6.7,0.044,21,0.3,1.7
-77.013178,38.921847,56,7,12,1081,0,1,0,0,0,0,0,0,1,23.5,40.4,0.017,38,1,2.2
-80.785683,35.2401,234,2,2,1510,0,0,0,0,0,1,0,0,1,6.1,11.6,0.026,9,0.3,0.4
-72.902871,41.3014,2,3,4,1574,0,1,0,0,0,0,0,0,1,5,29,0.044,11.3333333333333,0.2,0.2
-71.0826,42.3295,20,5,9,617,0,1,0,0,0,0,0,0,1,4.4,24,0.03,14,0.3,0.5
-78.915,40.309722,357,2,1,1111,0,1,0,0,0,0,0,0,1,16.6,30,0.025,12,0.3,3
-93.207615,45.13768,277,5,3,1534,0,1,0,0,0,0,0,1,0,3.2,3.9,0.043,1,0.2,0.4
-77.40027,37.55652,54,1,7,914,0,0,0,0,0,1,0,1,0,10.55,14.3,0.054,15,0.3,0.2
-124.17949,40.77678,22,2,11,320,0,0,0,0,0,1,0,1,0,4.1,8,0.029,10,0.3,0.8
-117.41601,33.99958,255,1,5,515,0,0,0,0,0,1,0,1,0,13.65,10.8,0.065,30.5,0.2,0.4
-112.095767,33.503833,343,7,3,444,0,0,0,0,0,1,0,0,1,8.3,43.8,0.055,32,1,1.2
-121.894898,37.348497,19,2,1,5,0,1,0,0,0,0,0,0,1,30.5,47.7,0.009,46,1.4,1.6
-84.2905,33.6878,239,3,1,13,0,0,0,0,0,1,0,1,0,11.3,20.8,0.006,11,0.4,0.5
-120.4575,34.63782,34,5,8,953,0,1,0,0,0,0,0,0,1,7.1,2,0.032,15,0.3,1
-106.5852,35.1343,1591,3,9,1350,0,0,0,0,0,1,0,0,1,2.8,25.3,0.046,16,0.2,0.9
-90.198348,38.656429,155,7,2,1508,0,0,0,0,0,1,0,0,1,12.575,17.5,0.039,17,0.2,2.8
-91.179219,30.461981,19,1,7,1306,0,1,0,0,0,0,0,0,1,13.4,21,0.037,30,0.4,0.3
-72.902871,41.3014,2,1,12,1082,0,1,0,0,0,0,0,0,1,13.6,40.5,0.009,25,0.6,1.2
-84.50404,39.12886,249,6,11,1052,0,1,0,0,0,0,0,0,1,7.05,7,0.036,10.5,0.3,1
-115.48307,32.67618,2.29519867897034,7,5,143,0,0,0,0,0,1,0,1,0,7.8,13.2,0.056,12,0.2,0.2
-117.32554,34.510961,913,3,10,1399,0,0,0,0,0,1,0,1,0,5.75,34.9,0.042,29,0.4,0.6
-78.574167,35.856111,103,1,1,389,0,0,0,0,0,1,0,1,0,11.8,33,0.027,15.5,0.9,1.7
-100.76821,46.825425,566,4,5,1225,0,0,0,0,0,1,0,1,0,5.3,3,0.037,23,0.2,0.1
-77.40027,37.55652,54,7,6,1634,0,0,0,0,0,1,0,1,0,8.15,16.7,0.047,12,0.5,0.4
-86.114444,39.810833,233,4,5,140,0,0,0,0,0,1,0,1,0,6.5,29.8,0.052,15,0.2,0.7
-72.902871,41.3014,2,3,1,1469,0,1,0,0,0,0,0,0,1,3.36666666666667,32.4,0.024,8,0.5,0.1
-80.038611,42.14175,192,7,10,283,0,1,0,0,0,0,0,1,0,6.1,7,0.047,9,0.3,0
-77.013178,38.921847,56,3,7,916,0,1,0,0,0,0,0,0,1,20.2,6.9,0.053,22,0.3,1.2
-105.00518,39.77949,1602,2,4,1559,0,0,0,0,0,1,0,0,1,3.65,37,0.043,23.5,0.3,1.2
-100.76821,46.825425,566,6,10,1017,0,0,0,0,0,1,0,1,0,7.75,17,0.023,30,0.2,0.4
-91.179219,30.461981,19,7,8,213,0,1,0,0,0,0,0,0,1,12.9,20.2,0.051,24,0.3,2.6
-100.76821,46.825425,566,2,1,1482,0,0,0,0,0,1,0,1,0,8.85,27.2,0.026,14,0.3,7.4
-91.179219,30.461981,19,1,8,1677,0,1,0,0,0,0,0,0,1,6.5,13,0.038,14,0.2,0.2
-84.50404,39.12886,249,2,5,1223,0,1,0,0,0,0,0,0,1,9.16666666666667,47,0.06,21.6666666666667,0.4,2
-80.785683,35.2401,234,1,12,1082,0,0,0,0,0,1,0,0,1,13,30.4,0.031,21,0.5,0.9
-117.49201,34.10002,371,5,7,197,0,0,0,1,0,0,0,1,0,12.6,41,0.075,70,0.3,1
-115.078742,36.141875,543,6,8,1311,0,0,0,0,0,1,0,0,1,19,27.5,0.065,49,0.2,0.6
-120.4575,34.63782,34,3,4,475,0,1,0,0,0,0,0,0,1,4,15,0.051,19,0.3,1
-106.5852,35.1343,1591,2,3,432,0,0,0,0,0,1,0,0,1,3.4,24.2,0.045,18,0.2,1.6
-77.013178,38.921847,56,1,4,823,0,1,0,0,0,0,0,0,1,7.1,20.7,0.044,16,0.4,1.5
-73.82153,40.73614,33,3,1,1469,0,1,0,0,0,0,0,0,1,2.65,32.6,0.025,4,0.4,0.9
-84.50404,39.12886,249,5,10,1394,0,1,0,0,0,0,0,0,1,8,17,0.011,10,0.2,4.9
-81.678449,41.492117,181,7,12,1459,0,1,0,0,0,0,0,0,1,11.4,17,0.026,8,0.2,0.35
-95.257593,29.733726,13,4,10,1379,0,0,0,1,0,0,0,0,1,5.65,17,0.035,16.5,0.2,-0.3
-122.602877,45.496641,68,1,10,1019,0,0,0,0,0,1,0,1,0,22.2,22.5,0.009,30,1.1,3.9
-80.038611,42.14175,192,3,1,27,0,1,0,0,0,0,0,1,0,16.7,41,0.034,11,0.8,5
-92.281296,34.756189,84,2,9,1706,0,1,0,0,0,0,0,0,1,13.4,19.2,0.054,21,0.5,2
-111.872222,40.736389,1304,1,1,1124,0,0,0,0,0,1,0,1,0,6.85,41,0.02,30,0.9,1.8
-81.678449,41.492117,181,5,12,1079,0,1,0,0,0,0,0,0,1,16,20,0.022,26.5,0.6,3.15
-95.257593,29.733726,13,4,2,1127,0,0,0,1,0,0,0,0,1,9.9,30,0.028,52.5,0.3,3
-111.872222,40.736389,1304,4,1,0,0,0,0,0,0,1,0,1,0,17.8,47,0.028,35,1,0.6
-119.77321,36.78538,100,3,1,734,0,1,0,0,0,0,0,0,1,2.43333333333333,12.4,0.028,2.5,0.3,0.1
-119.77321,36.78538,100,7,8,220,0,1,0,0,0,0,0,0,1,13.4333333333333,7.9,0.06,31.5,0.2,0.7
-124.17949,40.77678,22,7,4,101,0,0,0,0,0,1,0,1,0,5.3,4.3,0.034,20,0.5,0
-106.5852,35.1343,1591,5,8,232,0,0,0,0,0,1,0,0,1,9.5,34.4,0.054,29,0.3,1.3
-78.915,40.309722,357,2,6,159,0,1,0,0,0,0,0,0,1,10.2,10,0.051,15,0.2,2
-117.32554,34.510961,913,5,12,1443,0,0,0,0,0,1,0,1,0,11.55,30.6,0.02,33,0.9,2.2
-78.574167,35.856111,103,4,2,770,0,0,0,0,0,1,0,1,0,2.9,3,0.04,7,0.3,0.6
-86.114444,39.810833,233,2,5,1608,0,0,0,0,0,1,0,1,0,12,14.4,0.043,28,0.3,0.4
-72.902871,41.3014,2,6,9,261,0,1,0,0,0,0,0,0,1,11,30.6,0.053,16,0.4,1.4
-86.114444,39.810833,233,1,5,137,0,0,0,0,0,1,0,1,0,7.3,16.3,0.039,21.5,0.2,8.8
-80.038611,42.14175,192,4,7,182,0,1,0,0,0,0,0,1,0,10.1,14,0.038,12,0,2
-96.85535,46.933754,271,3,3,62,1,0,0,0,0,0,0,1,0,4.9,5.1,0.031,12,0.2,0.4
-106.5852,35.1343,1591,6,3,1535,0,0,0,0,0,1,0,0,1,4,22,0.054,15,0.2,0.4
-119.77321,36.78538,100,6,12,730,0,1,0,0,0,0,0,0,1,13.7333333333333,24.1,0.027,15.5,0.4,0.1
-84.2905,33.6878,239,5,5,1590,0,0,0,0,0,1,0,1,0,7.05,17.1,0.043,17,0.3,-0.1
-84.2905,33.6878,239,5,10,1009,0,0,0,0,0,1,0,1,0,7.55,14.6,0.035,18,0.6,0.4
-84.50404,39.12886,249,1,3,431,0,1,0,0,0,0,0,0,1,7.25,22,0.037,17.3333333333333,0.3,0.8
-71.0826,42.3295,20,7,4,479,0,1,0,0,0,0,0,0,1,4.65,18,0.041,8,0.2,0.5
-112.095767,33.503833,343,5,10,645,0,0,0,0,0,1,0,0,1,8.4,51.9,0.049,33,0.8,0.8
-117.41601,33.99958,255,6,1,1472,0,0,0,0,0,1,0,1,0,10.4,31.1,0.032,11,0.7,0.5
-91.179219,30.461981,19,3,1,1469,0,1,0,0,0,0,0,0,1,4.66666666666667,32.9,0.035,13,0.2,7.3
-86.114444,39.810833,233,3,1,748,0,0,0,0,0,1,0,1,0,3.8,12.8,0.023,7,0.3,0
-115.48307,32.67618,2.29519867897034,4,3,1155,0,0,0,0,0,1,0,1,0,12.1,44,0.045,57,0.8,2.5
-80.038611,42.14175,192,2,6,537,0,1,0,0,0,0,0,1,0,5.7,11,0.045,11,0.1,1
-115.078742,36.141875,543,3,7,1294,0,0,0,0,0,1,0,0,1,8.6,6.7,0.051,42,0.1,0.3
-86.114444,39.810833,233,6,4,828,0,0,0,0,0,1,0,1,0,4.7,32,0.051,19,0.9,2.6
-93.207615,45.13768,277,7,3,73,0,1,0,0,0,0,0,1,0,7,35.2,0.041,20,0.6,1.2
-77.013178,38.921847,56,4,3,798,0,1,0,0,0,0,0,0,1,9.3,52.5,0.054,31,0.5,0.9
-90.587611,41.530011,222,6,9,989,0,0,0,0,0,1,0,0,1,14.45,6,0.048,27.5,0.2,1.2
-96.700769,43.54792,449,5,4,99,0,1,0,0,0,0,0,0,1,5.3,17.8,0.018,15,0.3,0.7
-80.785683,35.2401,234,4,11,308,0,0,0,0,0,1,0,0,1,7.7,17.7,0.023,13,0.3,0.1
-96.700769,43.54792,449,6,3,86,0,1,0,0,0,0,0,0,1,9,4.5,0.015,20,0.2,0.8
-93.643118,41.603159,280,2,7,1286,0,1,0,0,0,0,0,0,1,10.9,11.2,0.052,43,0.2,0
-77.40027,37.55652,54,2,4,1559,0,0,0,0,0,1,0,1,0,4.7,13.6,0.042,8.66666666666667,0.2,-0.1
-104.778334,41.182227,1842,3,10,300,0,0,0,0,0,1,0,1,0,3.5,8,0.042,4,0.1,0.2
-116.944222,32.789561,144,3,11,1427,0,1,0,0,0,0,0,1,0,6.5,23,0.038,19,0.6,0.3
-119.77321,36.78538,100,6,7,1283,0,1,0,0,0,0,0,0,1,7.5,6.8,0.07,33,0.2,4.3
-78.915,40.309722,357,2,3,1524,0,1,0,0,0,0,0,0,1,8.55,8,0.035,6,0.1,2
-124.17949,40.77678,22,7,7,206,0,0,0,0,0,1,0,1,0,4.4,4,0.025,17,0.2,0.2
-91.179219,30.461981,19,7,8,1326,0,1,0,0,0,0,0,0,1,5.1,12.4,0.02,20,0.2,0.1
-104.778334,41.182227,1842,5,12,358,0,0,0,0,0,1,0,1,0,5.8,30.4,0.031,9,0.2,2
-86.114444,39.810833,233,3,4,825,0,0,0,0,0,1,0,1,0,0.8,8,0.037,6,0.2,0.5
-72.982778,43.608056,170,6,5,499,0,1,0,0,0,0,0,0,1,5.3,13.2,0.047,10,0.2,0.6
-112.095767,33.503833,343,3,7,181,0,0,0,0,0,1,0,0,1,3.2,8,0.058,24,0.4,0.7
-95.976537,36.204902,201,3,4,1574,0,0,0,0,0,1,0,0,1,8.05,11.1,0.009,10,0.3,0.2
-115.078742,36.141875,543,5,9,1709,0,0,0,0,0,1,0,0,1,8.2,33.5,0.061,27,0.4,1.5
-111.872222,40.736389,1304,7,11,1403,0,0,0,0,0,1,0,1,0,3.43333333333333,37,0.036,8,0.2,0
-74.192892,40.720989,29,4,2,1505,0,0,0,0,0,1,0,0,1,8.05,54.8,0.042,13,0.4,1.9
-91.179219,30.461981,19,6,1,380,0,1,0,0,0,0,0,0,1,8.9,46.9,0.032,14,0.2,3.4
-93.207615,45.13768,277,2,12,1076,0,1,0,0,0,0,0,1,0,6.5,25.9,0.02,9,0.3,0.8
-93.207615,45.13768,277,5,3,792,0,1,0,0,0,0,0,1,0,6.7,15.6,0.037,12,0.3,0.9
-76.699444,39.965278,131,7,6,164,0,0,0,0,0,1,0,1,0,11.25,5,0.05,15,0,1
-78.915,40.309722,357,1,7,914,0,1,0,0,0,0,0,0,1,16.1,9,0.058,15,0,10
-81.3625,28.596389,27,5,8,960,0,1,0,0,0,0,0,0,1,4.7,6.5,0.044,9,0.5,1.5
-115.48307,32.67618,2.29519867897034,3,10,1021,0,0,0,0,0,1,0,1,0,27.6,72.1,0.046,109,2.6,6.1
-111.872222,40.736389,1304,6,6,170,0,0,0,0,0,1,0,1,0,6.5,17,0.081,22,0.2,1.3
-122.602877,45.496641,68,2,3,446,0,0,0,0,0,1,0,1,0,1.8,15.3,0.031,3,0.3,0.2
-94.635605,39.117219,273,7,4,1186,0,0,0,0,0,1,0,0,1,4.1,8.9,0.038,4,0.1,0
-80.038611,42.14175,192,7,7,563,0,1,0,0,0,0,0,1,0,11.2,6,0.049,12,0.3,1
-91.179219,30.461981,19,4,11,1043,0,1,0,0,0,0,0,0,1,5.95,23.4,0.018,19,0.2,2.2
-124.17949,40.77678,22,6,12,1451,0,0,0,0,0,1,0,1,0,11.7,8,0.027,14,0.4,0.5
-84.2905,33.6878,239,1,12,347,0,0,0,0,0,1,0,1,0,4.8,28.5,0.028,6,0.3,0.3
-115.48307,32.67618,2.29519867897034,3,5,1238,0,0,0,0,0,1,0,1,0,9.4,21.5,0.05,43,0.2,2.7
-80.785683,35.2401,234,5,3,1163,0,0,0,0,0,1,0,0,1,6.6,28.7,0.046,13,0.3,0.2
-78.915,40.309722,357,5,5,869,0,1,0,0,0,0,0,0,1,8.3,10,0.048,15,0,1
-76.878333,39.055277,50,7,4,1193,0,0,0,0,0,1,0,1,0,4.43333333333333,6,0.05,5,0.2,0.4
-78.915,40.309722,357,6,10,639,0,1,0,0,0,0,0,0,1,-0.2,6,0.021,6,0.1,0
-86.114444,39.810833,233,1,2,774,0,0,0,0,0,1,0,1,0,5.6,34.9,0.034,16,0.5,0.3
-104.778334,41.182227,1842,3,12,335,0,0,0,0,0,1,0,1,0,1.63333333333333,8.6,0.041,5,0.1,0.1
-105.00518,39.77949,1602,1,12,725,0,0,0,0,0,1,0,0,1,6.95,42.8,0.033,20,0.7,3.2
-90.182722,32.329111,118,1,8,1698,0,1,0,0,0,0,0,0,1,5.8,9.3,0.023,12,0.2,1.2
-86.815,33.553056,180,7,2,1508,0,1,0,0,0,0,0,0,1,9.9,19.3,0.037,12,0.5,0.5
-73.82153,40.73614,33,5,6,1625,0,1,0,0,0,0,0,0,1,3.8,31.5,0.037,9,0.2,0.6
-119.77321,36.78538,100,1,8,956,0,1,0,0,0,0,0,0,1,4.26666666666667,6.6,0.033,37,0.1,1
-119.77321,36.78538,100,2,9,243,0,1,0,0,0,0,0,0,1,9.63333333333333,31.8,0.07,58,0.4,3.4
-91.179219,30.461981,19,6,6,541,0,1,0,0,0,0,0,0,1,12.1,19.7,0.054,25,0.2,1.8
-115.48307,32.67618,2.29519867897034,7,9,976,0,0,0,0,0,1,0,1,0,4.6,11.3,0.029,18,0.2,0.3
-104.778334,41.182227,1842,3,11,1413,0,0,0,0,0,1,0,1,0,-0.9,6.9,0.039,4,0.1,0.3
-119.807717,39.525083,1380,6,3,814,0,0,0,0,0,1,0,0,1,3.5,18,0.051,7,0.3,0.3
-81.3625,28.596389,27,1,1,1103,0,1,0,0,0,0,0,0,1,8.1,19,0.03,12,0.3,0.4
-100.76821,46.825425,566,1,8,1691,0,0,0,0,0,1,0,1,0,4.375,7.6,0.036,17,0.2,2.4
-96.700769,43.54792,449,6,8,597,0,1,0,0,0,0,0,0,1,5.3,6.2,0.025,7,0.2,2.2
-111.872222,40.736389,1304,2,8,1685,0,0,0,0,0,1,0,1,0,6.03333333333333,23.2,0.073,24,0.1,2.3
-120.4575,34.63782,34,3,3,62,0,1,0,0,0,0,0,0,1,5.7,15,0.043,15,0.3,1
-119.77321,36.78538,100,2,10,663,0,1,0,0,0,0,0,0,1,7.96666666666667,29.9,0.039,36.5,0.4,2.4
-96.700769,43.54792,449,1,1,1474,0,1,0,0,0,0,0,0,1,5.2,8.2,0.016,8,0.2,0.3
-81.3625,28.596389,27,2,7,551,0,1,0,0,0,0,0,0,1,13.5,9,0.041,23,0.8,1
-77.013178,38.921847,56,5,9,253,0,1,0,0,0,0,0,0,1,4.7,24.8,0.055,10,0.3,2.1
-95.976537,36.204902,201,1,9,1355,0,0,0,0,0,1,0,0,1,13.1,34.6,0.047,27,0.4,0.9
-122.602877,45.496641,68,5,3,71,0,0,0,0,0,1,0,1,0,7.5,27.8,0.025,15,0.4,1.3
-92.281296,34.756189,84,5,9,1730,0,1,0,0,0,0,0,0,1,9.7,15.1,0.044,16,0.3,3
-105.00518,39.77949,1602,1,5,1586,0,0,0,0,0,1,0,0,1,8.8,31.7,0.044,27,0.4,0.8
-95.976537,36.204902,201,4,2,413,0,0,0,0,0,1,0,0,1,20.1333333333333,9,0.062,100,0.3,3.1
-91.179219,30.461981,19,2,5,502,0,1,0,0,0,0,0,0,1,8,13.7,0.028,18,0.3,1.4
-78.915,40.309722,357,5,10,1023,0,1,0,0,0,0,0,0,1,16.3,24,0.042,17,0.3,14
-90.198348,38.656429,155,6,3,1521,0,0,0,0,0,1,0,0,1,25.2666666666667,16.3,0.041,34.5,0.3,1.3
-96.700769,43.54792,449,7,5,129,0,1,0,0,0,0,0,0,1,7.1,5.3,0.011,13,0.2,0.1
-77.013178,38.921847,56,3,12,1070,0,1,0,0,0,0,0,0,1,6.05,22.7,0.032,11,0.3,0.5
-119.807717,39.525083,1380,2,4,1195,0,0,0,0,0,1,0,0,1,5.4,26.8,0.055,15,0.2,0.3
-120.4575,34.63782,34,1,5,1607,0,1,0,0,0,0,0,0,1,2,5,0.019,12,0.4,2
-81.3625,28.596389,27,1,9,270,0,1,0,0,0,0,0,0,1,3.6,7,0.031,6,0.4,0
-94.635605,39.117219,273,1,9,620,0,0,0,0,0,1,0,0,1,6.7,16.1,0.044,13,0.2,1.4
-95.976537,36.204902,201,2,10,1034,0,0,0,0,0,1,0,0,1,4.65,17.8,0.019,16,0.3,0.6
-106.5852,35.1343,1591,3,6,1637,0,0,0,0,0,1,0,0,1,9.35,29.7,0.058,37,0.3,1.2
-78.574167,35.856111,103,3,7,566,0,0,0,0,0,1,0,1,0,8.7,6.3,0.045,12,0.2,0.9
-90.182722,32.329111,118,1,8,599,0,1,0,0,0,0,0,0,1,6,10,0.033,13,0.2,0.2
-106.5852,35.1343,1591,7,2,402,0,0,0,0,0,1,0,0,1,4.7,35.5,0.042,8,0.3,1
-122.602877,45.496641,68,4,11,329,0,0,0,0,0,1,0,1,0,10,20.2,0.03,11.5,1.1,0.7
-77.013178,38.921847,56,2,4,1202,0,1,0,0,0,0,0,0,1,2.55,11.8,0.041,5,0.2,0.6
-104.778334,41.182227,1842,3,2,41,0,0,0,0,0,1,0,1,0,1.56666666666667,10.1,0.039,3,0.1,0
-93.643118,41.603159,280,1,6,893,0,1,0,0,0,0,0,0,1,10.8,7.6,0.047,31,0.2,0
-120.4575,34.63782,34,3,12,349,0,1,0,0,0,0,0,0,1,5.4,21,0.03,18,0.1,1
-119.77321,36.78538,100,5,4,1562,0,1,0,0,0,0,0,0,1,5.96666666666667,30,0.041,16,0.4,0.2
-80.038611,42.14175,192,4,9,266,0,1,0,0,0,0,0,1,0,12.1,30,0.052,17,0.5,0
-93.207615,45.13768,277,4,11,693,0,1,0,0,0,0,0,1,0,11,12.7,0.021,9,0.3,0.8
-76.699444,39.965278,131,6,1,2,0,0,0,0,0,1,0,1,0,19.65,25,0.011,14,0.4,2
-117.32554,34.510961,913,1,6,1250,0,0,0,0,0,1,0,1,0,11.5,47.2,0.068,36,0.4,2.4
-93.207615,45.13768,277,3,8,237,0,1,0,0,0,0,0,1,0,3.6,20.2,0.041,10,0.4,1.5
-72.902871,41.3014,2,4,4,483,0,1,0,0,0,0,0,0,1,3.8,21.8,0.046,11,0.3,0.5
-84.50404,39.12886,249,7,6,164,0,1,0,0,0,0,0,0,1,11.9,9,0.036,23.5,0.2,3.1
-106.5852,35.1343,1591,4,12,1442,0,0,0,0,0,1,0,0,1,1.95,25.5,0.038,15,0.2,0.8
-124.17949,40.77678,22,4,1,392,0,0,0,0,0,1,0,1,0,7.1,12.3,0.032,16,0.4,0.3
-81.678449,41.492117,181,7,7,1655,0,1,0,0,0,0,0,0,1,6.4,23,0.042,12.5,0.4,2.2
-122.356811,37.9604,11,7,10,1025,0,1,0,0,0,0,0,0,1,6.3,29,0.026,10.5,0.3,4.4
-91.179219,30.461981,19,2,6,173,0,1,0,0,0,0,0,0,1,20.1666666666667,25,0.045,59,0.2,2.1
-84.2905,33.6878,239,2,1,376,0,0,0,0,0,1,0,1,0,12.75,29.2,0.029,12,1,1.8
-78.915,40.309722,357,3,6,531,0,1,0,0,0,0,0,0,1,11.7,11,0.048,15,0,1
-121.894898,37.348497,19,1,7,935,0,1,0,0,0,0,0,0,1,6.05,7.9,0.038,16,0.2,0.4
-119.807717,39.525083,1380,5,11,1044,0,0,0,0,0,1,0,0,1,2.9,33.2,0.039,8,0.1,0.7
-78.915,40.309722,357,1,2,788,0,1,0,0,0,0,0,0,1,17.3,26,0.028,17,0.4,3
-86.114444,39.810833,233,3,8,601,0,0,0,0,0,1,0,1,0,9.85,17.1,0.025,20.5,0.2,0.5
-78.915,40.309722,357,4,5,504,0,1,0,0,0,0,0,0,1,8.7,11,0.044,11,0.1,6
-78.915,40.309722,357,3,4,1210,0,1,0,0,0,0,0,0,1,3.3,18,0.045,5,0.1,1
-115.48307,32.67618,2.29519867897034,1,8,221,0,0,0,0,0,1,0,1,0,9.6,19.4,0.042,31,0.2,3.2
-78.915,40.309722,357,3,9,251,0,1,0,0,0,0,0,0,1,9.1,11,0.049,23,0.1,6
-96.85535,46.933754,271,5,3,64,1,0,0,0,0,0,0,1,0,7.8,6.6,0.042,14,0.2,0.4
-93.207615,45.13768,277,2,10,663,0,1,0,0,0,0,0,1,0,4.5,12,0.027,8,0.6,0.6
-104.987625,39.751184,1593,5,7,1289,0,1,0,0,0,0,0,0,1,6.63333333333333,26.6,0.062,27,0.3,1
-92.281296,34.756189,84,2,4,1580,0,1,0,0,0,0,0,0,1,11.5,16.4,0.04,22,1.1,1.9
-81.3625,28.596389,27,3,4,475,0,1,0,0,0,0,0,0,1,6.2,4,0.055,14,0.3,0
-90.587611,41.530011,222,2,7,551,0,0,0,0,0,1,0,0,1,8.2,15.5,0.038,20,0.3,0.9
-111.872222,40.736389,1304,6,1,1472,0,0,0,0,0,1,0,1,0,18.0333333333333,35,0.02,26,0.4,0.4
-77.013178,38.921847,56,1,10,277,0,1,0,0,0,0,0,0,1,6.65,32.3,0.029,18,0.4,1.3
-111.872222,40.736389,1304,5,1,1485,0,0,0,0,0,1,0,1,0,6.53333333333333,40,0.028,22,0.7,0.9
-91.179219,30.461981,19,1,9,1355,0,1,0,0,0,0,0,0,1,11.4,20.8,0.058,32,0.3,0.3
-72.982778,43.608056,170,1,3,1523,0,1,0,0,0,0,0,0,1,6.2,8.1,0.049,7,0.2,0.6
-81.3625,28.596389,27,5,9,610,0,1,0,0,0,0,0,0,1,6.6,6,0.033,15,0.6,0
-111.872222,40.736389,1304,3,6,1252,0,0,0,0,0,1,0,1,0,8.03333333333333,34,0.055,23,0.4,2.4
-86.815,33.553056,180,4,6,896,0,1,0,0,0,0,0,0,1,8.3,13.3,0.033,17,0.4,0.9
